Date,vader_score,CP
2009-09-25,-0.6249,1044.38
2009-09-28,-0.20095,1062.98
2009-09-30,0.0,1057.08
2009-10-01,0.0,1029.85
2009-10-06,0.24695,1054.72
2009-10-07,-0.4588,1057.58
2009-10-08,-0.6369,1065.48
2009-10-09,0.0,1071.49
2009-10-12,0.0,1076.19
2009-10-19,0.0,1097.91
2009-10-27,0.0,1063.41
2009-10-28,-0.4404,1042.63
2009-10-30,0.0,1036.19
2009-11-05,0.2294,1066.63
2009-11-09,0.0,1093.08
2009-11-12,-0.2732,1087.24
2009-11-13,-0.16463333333333333,1093.48
2009-11-23,-0.3182,1106.24
2009-11-24,0.0,1105.65
2009-11-25,0.5858,1110.63
2009-11-27,-0.3612,1091.49
2009-12-03,0.0,1099.92
2009-12-07,0.0,1103.25
2009-12-10,0.0,1102.35
2009-12-14,0.4019,1114.11
2009-12-15,-0.19375,1107.93
2009-12-16,0.19469999999999998,1109.18
2009-12-21,0.0,1114.05
2009-12-22,0.6808,1118.02
2009-12-30,0.31845,1126.42
2010-01-05,0.12726666666666667,1136.52
2010-01-06,0.431,1137.14
2010-01-07,0.0,1141.69
2010-01-11,-0.1779,1146.98
2010-01-13,-0.1591,1145.68
2010-01-14,0.0,1148.46
2010-01-20,0.4019,1138.04
2010-01-28,0.23835,1084.53
2010-02-02,0.0,1103.32
2010-02-04,0.0,1063.11
2010-02-05,0.3818,1066.19
2010-02-08,0.3715,1056.74
2010-02-12,0.0,1075.51
2010-02-18,-0.4588,1106.75
2010-02-23,0.296,1094.6
2010-02-26,0.0,1104.49
2010-03-01,-0.4019,1115.71
2010-03-02,0.0,1118.31
2010-03-05,0.10115,1138.7
2010-03-08,0.5267,1138.5
2010-03-09,-0.5267,1140.45
2010-03-10,-0.4767,1145.61
2010-03-12,-0.6249,1149.99
2010-03-15,0.2263,1150.51
2010-03-22,0.3612,1165.81
2010-03-24,0.2023,1167.72
2010-04-01,0.0,1178.1
2010-04-05,0.2553,1187.44
2010-04-12,0.0,1196.48
2010-04-14,-0.02372500000000001,1210.65
2010-04-15,0.0,1211.67
2010-04-19,0.0,1197.52
2010-04-22,0.4428,1208.67
2010-04-23,0.6369,1217.28
2010-04-28,-0.4455,1191.36
2010-04-30,0.0,1186.69
2010-05-04,0.0,1173.6
2010-05-05,-0.4767,1165.87
2010-05-06,0.0,1128.15
2010-05-07,0.1531,1110.88
2010-05-11,0.0,1155.79
2010-05-12,0.17556666666666665,1171.67
2010-05-17,-0.5423,1136.94
2010-05-18,0.4767,1120.8
2010-05-20,0.0,1071.59
2010-05-25,0.0,1074.03
2010-05-26,0.0,1067.95
2010-06-01,0.0,1070.71
2010-06-07,-0.2553,1050.47
2010-06-08,0.25,1062.0
2010-06-11,0.5420499999999999,1091.6
2010-06-14,0.0,1089.63
2010-06-15,0.1366,1115.23
2010-06-21,0.12373333333333332,1113.2
2010-06-22,0.0,1095.31
2010-06-23,-0.4588,1092.04
2010-06-28,0.13834999999999997,1074.57
2010-06-29,0.0,1041.24
2010-06-30,-0.40199999999999997,1030.71
2010-07-06,-0.318,1028.06
2010-07-07,0.0,1060.27
2010-07-13,0.1796,1095.34
2010-07-14,0.30665000000000003,1095.17
2010-07-20,-0.7003,1083.48
2010-07-21,0.1027,1069.59
2010-07-26,-0.1695,1115.01
2010-07-30,-0.37370000000000003,1101.6
2010-08-02,0.27545,1125.86
2010-08-04,0.3784666666666667,1127.24
2010-08-06,0.2023,1121.64
2010-08-09,0.7717,1127.79
2010-08-10,0.0,1121.06
2010-08-11,0.0,1089.47
2010-08-17,0.2023,1092.54
2010-08-24,0.0,1051.87
2010-08-27,0.0,1064.59
2010-08-30,0.0,1048.92
2010-09-03,-0.03423333333333333,1104.51
2010-09-07,-0.5500499999999999,1091.84
2010-09-09,0.5106,1104.18
2010-09-10,0.0,1109.55
2010-09-13,-0.40095000000000003,1121.9
2010-09-14,0.0,1121.1
2010-09-15,0.03423333333333333,1125.07
2010-09-17,0.1909,1125.59
2010-09-20,-0.2732,1142.71
2010-09-21,0.0,1139.78
2010-09-22,-0.23835,1134.28
2010-09-24,-0.026824999999999998,1148.67
2010-09-27,0.0,1142.16
2010-09-28,-0.6249,1147.7
2010-09-29,-0.4019,1144.73
2010-09-30,-0.0817,1141.2
2010-10-01,-0.4019,1146.24
2010-10-04,0.0772,1137.03
2010-10-08,0.0,1165.15
2010-10-12,0.0,1169.77
2010-10-13,0.28595,1178.1
2010-10-14,0.0,1173.81
2010-10-19,-0.005999999999999998,1165.9
2010-10-20,-0.3182,1178.17
2010-10-22,0.0,1183.08
2010-10-26,0.0,1185.64
2010-10-29,0.0,1183.26
2010-11-02,0.3612,1193.57
2010-11-04,0.0258,1221.06
2010-11-05,0.0,1225.85
2010-11-08,-0.3592,1223.25
2010-11-10,0.0,1218.71
2010-11-11,0.0,1213.54
2010-11-12,0.0,1199.21
2010-11-15,0.15293333333333334,1197.75
2010-11-18,0.4958,1196.69
2010-11-22,0.0,1197.84
2010-11-23,-0.4767,1180.73
2010-11-24,0.2528,1198.35
2010-11-26,-0.3818,1189.4
2010-11-29,0.10585,1187.76
2010-11-30,0.0,1180.55
2010-12-02,0.0,1221.53
2010-12-03,0.0,1224.71
2010-12-09,0.743,1233.0
2010-12-10,-0.16215,1240.4
2010-12-13,0.05435000000000004,1240.46
2010-12-14,0.6369,1241.59
2010-12-16,-0.2732,1242.87
2010-12-17,0.0,1243.91
2010-12-20,0.6124,1247.08
2010-12-22,0.11315,1258.84
2010-12-23,-0.1779,1256.77
2010-12-30,0.6369,1257.88
2010-12-31,-0.03178,1257.64
2011-01-03,0.11315,1271.87
2011-01-04,0.09106666666666667,1270.2
2011-01-05,0.0,1276.56
2011-01-06,0.27115,1273.85
2011-01-11,0.3818,1274.48
2011-01-12,-0.1591,1285.96
2011-01-13,0.2202,1283.76
2011-01-14,0.6124,1293.24
2011-01-18,0.6369,1295.02
2011-01-19,0.4449,1281.92
2011-01-20,-0.006249999999999978,1280.26
2011-01-21,-0.026500000000000024,1283.35
2011-01-24,0.6369,1290.84
2011-01-26,0.0,1296.63
2011-01-28,0.0,1276.34
2011-01-31,0.0,1286.12
2011-02-01,0.16447499999999998,1307.59
2011-02-02,0.0,1304.03
2011-02-03,0.2997,1307.1
2011-02-04,0.31845,1310.87
2011-02-09,0.0,1320.88
2011-02-14,0.14693333333333333,1332.32
2011-02-15,0.0,1328.01
2011-02-16,-0.3818,1336.32
2011-02-18,0.0,1343.01
2011-02-23,0.128,1307.4
2011-02-24,0.0,1306.1
2011-02-28,-0.12916666666666668,1327.22
2011-03-01,0.12925,1306.33
2011-03-04,0.28595,1321.15
2011-03-08,0.24914999999999998,1321.82
2011-03-09,-0.1366,1320.02
2011-03-10,0.0,1295.11
2011-03-11,0.0,1304.28
2011-03-14,0.0,1296.39
2011-03-15,0.0,1281.87
2011-03-16,0.3454,1256.88
2011-03-17,0.06835,1273.72
2011-03-23,0.2732,1297.54
2011-03-29,0.0,1319.44
2011-03-30,0.4215,1328.26
2011-03-31,0.0,1325.83
2011-04-01,-0.34,1332.41
2011-04-04,0.06743333333333333,1332.87
2011-04-05,0.0,1332.63
2011-04-06,-0.5574,1335.54
