Date,vader_score,CP,return,sentiment_lag_1,sentiment_lag_2,sentiment_lag_3,sentiment_lag_4,sentiment_lag_5,volatility_20d,direction
2008-09-09,0.4404,1224.51,-0.039584934665641835,-0.6124,0.0,-0.17,0.26335,0.0129,0.019633900210969144,0
2008-09-10,0.0,1232.04,0.006149398534924133,0.4404,-0.6124,0.0,-0.17,0.26335,0.01975199184171065,1
2008-09-11,0.0258,1249.05,0.013806369923054396,0.0,0.4404,-0.6124,0.0,-0.17,0.019545086323801527,1
2008-09-15,-0.3612,1192.7,-0.045114286858012,0.0258,0.0,0.4404,-0.6124,0.0,0.02159374740610399,0
2008-09-16,0.66725,1213.6,0.017523266538106652,-0.3612,0.0258,0.0,0.4404,-0.6124,0.02201736448995548,1
2008-09-17,-0.1027,1156.39,-0.047140738299274676,0.66725,-0.3612,0.0258,0.0,0.4404,0.024280799352159904,0
2008-09-19,-0.2732,1255.08,0.08534318006900765,-0.1027,0.66725,-0.3612,0.0258,0.0,0.031199297570107608,1
2008-09-24,0.0,1185.87,-0.05514389520986718,-0.2732,-0.1027,0.66725,-0.3612,0.0258,0.031973801681538745,0
2008-09-26,0.0,1213.27,0.02310539941140277,0.0,-0.2732,-0.1027,0.66725,-0.3612,0.03238408096129861,1
2008-09-29,-0.3761,1106.42,-0.08806778375794333,0.0,0.0,-0.2732,-0.1027,0.66725,0.03767972131539027,0
2008-10-01,0.0,1161.06,0.0493845013647618,-0.3761,0.0,0.0,-0.2732,-0.1027,0.0396706882822707,1
2008-10-06,0.0,1056.89,-0.08971973885931805,0.0,-0.3761,0.0,0.0,-0.2732,0.04413201637353474,0
2008-10-07,-0.2732,996.23,-0.057394809298981,0.0,0.0,-0.3761,0.0,0.0,0.044131755570034126,0
2008-10-13,0.0,1003.35,0.007146943978800113,-0.2732,0.0,0.0,-0.3761,0.0,0.044336447822081855,1
2008-10-15,0.1909,907.84,-0.09519110978222955,0.0,-0.2732,0.0,0.0,-0.3761,0.0478924548804775,0
2008-10-17,-0.20095,940.55,0.03603057807543175,0.1909,0.0,-0.2732,0.0,0.0,0.0492881161248605,1
2008-10-20,0.0,985.4,0.0476848652384243,-0.20095,0.1909,0.0,-0.2732,0.0,0.051048823872193984,1
2008-10-21,-0.3612,955.05,-0.030799675258778136,0.0,-0.20095,0.1909,0.0,-0.2732,0.051010144618743994,0
2008-10-23,-0.5362,908.11,-0.049149259201088924,-0.3612,0.0,-0.20095,0.1909,0.0,0.0511558329754704,0
2008-10-24,-0.25805,876.77,-0.03451123762539787,-0.5362,-0.3612,0.0,-0.20095,0.1909,0.0513107429628127,0
2008-10-29,-0.2732,930.09,0.06081412457086821,-0.25805,-0.5362,-0.3612,0.0,-0.20095,0.05386174774032475,1
2008-10-30,0.1366,954.09,0.02580395445602046,-0.2732,-0.25805,-0.5362,-0.3612,0.0,0.054392046349368305,1
2008-11-03,-0.1465333333333333,966.2999999999998,0.01279753482375856,0.1366,-0.2732,-0.25805,-0.5362,-0.3612,0.05436802046171381,1
2008-11-04,0.0,1005.75,0.040825830487426495,-0.1465333333333333,0.1366,-0.2732,-0.25805,-0.5362,0.05495036188936753,1
2008-11-05,0.0,952.77,-0.05267710663683822,0.0,-0.1465333333333333,0.1366,-0.2732,-0.25805,0.05553817385561816,0
2008-11-07,0.0,930.99,-0.02285966182814314,0.0,0.0,-0.1465333333333333,0.1366,-0.2732,0.05495840998860645,0
2008-11-10,-0.2732,919.21,-0.012653197134233407,0.0,0.0,0.0,-0.1465333333333333,0.1366,0.050239531338732976,0
2008-11-11,0.26415,898.95,-0.02204066535394522,-0.2732,0.0,0.0,0.0,-0.1465333333333333,0.049358186668268036,0
2008-11-17,-0.0354499999999999,850.75,-0.05361811001724237,0.26415,-0.2732,0.0,0.0,0.0,0.04942071194025033,0
2008-11-21,0.0,800.03,-0.05961798413164854,-0.0354499999999999,0.26415,-0.2732,0.0,0.0,0.04762647094656045,0
2008-11-24,0.7184,851.81,0.06472257290351613,0.0,-0.0354499999999999,0.26415,-0.2732,0.0,0.048825954832157396,1
2008-11-26,0.2023,887.68,0.04211032976837559,0.7184,0.0,-0.0354499999999999,0.26415,-0.2732,0.04695996147769918,1
2008-12-01,0.2263,816.21,-0.08051324801730342,0.2023,0.7184,0.0,-0.0354499999999999,0.26415,0.04850842869736663,0
2008-12-02,0.0,848.81,0.03994070153514406,0.2263,0.2023,0.7184,0.0,-0.0354499999999999,0.04961688119706116,1
2008-12-03,0.0,870.74,0.02583617063889454,0.0,0.2263,0.2023,0.7184,0.0,0.04552508410310008,1
2008-12-04,-0.6369,845.22,-0.0293084043457289,0.0,0.0,0.2263,0.2023,0.7184,0.04506284158158707,0
2008-12-09,-0.5994,888.67,0.0514067343413549,-0.6369,0.0,0.0,0.2263,0.2023,0.0452961639028871,1
2008-12-11,-0.5345,873.59,-0.016969178660245055,-0.5994,-0.6369,0.0,0.0,0.2263,0.044972709478555965,0
2008-12-17,-0.6124,904.42,0.035291154889593335,-0.5345,-0.5994,-0.6369,0.0,0.0,0.04442016308411098,1
2008-12-18,0.0,885.28,-0.021162734127949445,-0.6124,-0.5345,-0.5994,-0.6369,0.0,0.04396054692790784,0
2008-12-24,0.4019,868.15,-0.01934981022953186,0.0,-0.6124,-0.5345,-0.5994,-0.6369,0.041863374457740576,0
2008-12-30,-0.31245,890.64,0.025905661464032725,0.4019,0.0,-0.6124,-0.5345,-0.5994,0.041867012668246106,1
2008-12-31,0.0,903.25,0.014158358034671803,-0.31245,0.4019,0.0,-0.6124,-0.5345,0.04189444447349059,1
2009-01-07,-0.2732,906.65,0.0037641848879048645,0.0,-0.31245,0.4019,0.0,-0.6124,0.04067784676012639,1
2009-01-08,-0.6705,909.73,0.003397121270611647,-0.2732,0.0,-0.31245,0.4019,0.0,0.03907476385164076,1
2009-01-12,-0.2732,870.26,-0.04338649929099847,-0.6705,-0.2732,0.0,-0.31245,0.4019,0.03992353227221062,0
2009-01-20,0.4215,805.22,-0.07473628570771951,-0.2732,-0.6705,-0.2732,0.0,-0.31245,0.04303805076669877,0
2009-01-21,0.0,840.24,0.043491219790864566,0.4215,-0.2732,-0.6705,-0.2732,0.0,0.044207854391564314,1
2009-01-23,-0.1779,831.95,-0.00986622869656284,0.0,0.4215,-0.2732,-0.6705,-0.2732,0.042594713902568755,0
2009-01-28,0.0,874.09,0.050652082456878356,-0.1779,0.0,0.4215,-0.2732,-0.6705,0.04163065558347133,1
2009-01-30,-0.0516,825.88,-0.055154503540825406,0.0,-0.1779,0.0,0.4215,-0.2732,0.041248229158218144,0
2009-02-02,-0.296,825.44,-0.0005327650506126158,-0.0516,0.0,-0.1779,0.0,0.4215,0.04000078333203794,0
2009-02-09,0.0,869.89,0.05385006784260504,-0.296,-0.0516,0.0,-0.1779,0.0,0.0374753702917052,1
2009-02-17,0.0,789.17,-0.09279334168688003,0.0,-0.296,-0.0516,0.0,-0.1779,0.04220448861661663,0
2009-02-18,0.2202,788.42,-0.0009503655739574457,0.0,0.0,-0.296,-0.0516,0.0,0.04167038192684232,0
2009-02-23,0.4404,743.33,-0.0571903300271428,0.2202,0.0,0.0,-0.296,-0.0516,0.04300270790056471,0
2009-02-25,-0.4767,764.9,0.029018067345593312,0.4404,0.2202,0.0,0.0,-0.296,0.041715256556564884,1
2009-03-02,-0.1027,700.82,-0.08377565694862066,-0.4767,0.4404,0.2202,0.0,0.0,0.04512248134185215,0
2009-03-03,-0.3182,696.33,-0.006406780628406716,-0.1027,-0.4767,0.4404,0.2202,0.0,0.043867047460625995,0
2009-03-04,0.4404,712.87,0.023753105567762445,-0.3182,-0.1027,-0.4767,0.4404,0.2202,0.04452101565471806,1
2009-03-05,0.0,682.55,-0.04253229901665112,0.4404,-0.3182,-0.1027,-0.4767,0.4404,0.04508079005295021,0
2009-03-09,-0.4019,676.53,-0.008819866676433974,0.0,0.4404,-0.3182,-0.1027,-0.4767,0.04424692413849454,0
2009-03-13,0.0,756.55,0.1182800467089411,-0.4019,0.0,0.4404,-0.3182,-0.1027,0.05286078176988955,1
2009-03-18,0.4215,794.35,0.04996365078316045,0.0,-0.4019,0.0,0.4404,-0.3182,0.05436677139805473,1
2009-03-26,-0.4939,832.86,0.04847988921759927,0.4215,0.0,-0.4019,0.0,0.4404,0.05566062290248296,1
2009-04-06,-0.23835,835.48,0.003145786806906248,-0.4939,0.4215,0.0,-0.4019,0.0,0.054847243530672614,1
2009-04-13,-0.34,858.73,0.027828314262459797,-0.23835,-0.4939,0.4215,0.0,-0.4019,0.05228638983202846,1
2009-04-17,-0.5574,869.6,0.012658227848101333,-0.34,-0.23835,-0.4939,0.4215,0.0,0.05152594104000436,1
2009-04-28,0.0,855.16,-0.016605335786568642,-0.5574,-0.34,-0.23835,-0.4939,0.4215,0.05163629037720807,0
2009-04-30,-0.21075,872.81,0.02063941250760082,0.0,-0.5574,-0.34,-0.23835,-0.4939,0.050593221947330895,1
2009-05-07,0.5267,907.39,0.03961916110035402,-0.21075,0.0,-0.5574,-0.34,-0.23835,0.04946862697574174,1
2009-05-11,0.0,909.24,0.0020388146221581582,0.5267,-0.21075,0.0,-0.5574,-0.34,0.04945441765494241,1
2009-05-29,0.0,919.14,0.010888214332849477,0.0,0.5267,-0.21075,0.0,-0.5574,0.048183798526623016,1
2009-06-01,0.0,942.87,0.02581761211567346,0.0,0.0,0.5267,-0.21075,0.0,0.04264188176063203,1
2009-06-05,0.0,940.09,-0.0029484446424214994,0.0,0.0,0.0,0.5267,-0.21075,0.04267070630148584,0
2009-06-11,0.1366,944.89,0.005105894116520737,0.0,0.0,0.0,0.0,0.5267,0.03970196035933353,1
2009-06-17,-0.1133333333333333,910.71,-0.03617352284392883,0.1366,0.0,0.0,0.0,0.0,0.04095730392510592,0
2009-06-19,-0.34,921.23,0.01155142690867561,-0.1133333333333333,0.1366,0.0,0.0,0.0,0.03457478262633813,1
2009-06-24,0.4215,900.94,-0.022024901490398707,-0.34,-0.1133333333333333,0.1366,0.0,0.0,0.03523744283363142,0
2009-07-01,0.0,923.33,0.024851821430949883,0.4215,-0.34,-0.1133333333333333,0.1366,0.0,0.03525506638000669,1
2009-07-02,0.0,896.42,-0.029144509546966013,0.0,0.4215,-0.34,-0.1133333333333333,0.1366,0.03424608079344289,0
2009-07-08,0.0,879.56,-0.018808147966355104,0.0,0.0,0.4215,-0.34,-0.1133333333333333,0.034670533954309815,0
2009-07-09,0.6369,882.68,0.0035472281595343436,0.0,0.0,0.0,0.4215,-0.34,0.02445202857697917,1
2009-07-13,0.3612,901.05,0.02081161915983132,0.6369,0.0,0.0,0.0,0.4215,0.022620536946357624,1
2009-07-31,0.0,987.48,0.09592142500416179,0.3612,0.6369,0.0,0.0,0.0,0.028871188189293382,1
2009-08-05,-0.4939,1002.72,0.015433223964029574,0.0,0.3612,0.6369,0.0,0.0,0.028872225606984697,1
2009-08-07,0.0,1010.48,0.007738950055848015,-0.4939,0.0,0.3612,0.6369,0.0,0.028550529494819295,1
2009-08-11,-0.4215,994.35,-0.015962710790911272,0.0,-0.4939,0.0,0.3612,0.6369,0.02904653733709837,0
2009-08-13,-0.0572,1012.73,0.01848443706944236,-0.4215,0.0,-0.4939,0.0,0.3612,0.028594607675457965,1
2009-08-14,0.2732,1004.09,-0.008531395337355474,-0.0572,-0.4215,0.0,-0.4939,0.0,0.028706394802909065,0
2009-08-19,0.0,996.46,-0.007598920415500587,0.2732,-0.0572,-0.4215,0.0,-0.4939,0.027846876129111717,0
2009-08-31,0.0,1020.62,0.02424583023904625,0.0,0.2732,-0.0572,-0.4215,0.0,0.028161452718733812,1
2009-09-01,0.0,998.04,-0.02212380709764661,0.0,0.0,0.2732,-0.0572,-0.4215,0.02882928514198958,0
2009-09-02,0.0,994.75,-0.0032964610636847524,0.0,0.0,0.0,0.2732,-0.0572,0.02842899828513331,0
